,URL,TEXT,WIDTH,HEIGHT,similarity,punsafe,pwatermark,AESTHETIC_SCORE,hash
860,https://images.fineartamerica.com/images/artworkimages/mediumlarge/2/the-courtyard-at-mgh-p-anthony-visco.jpg,The Courtyard at Mass General Hospital by P Anthony Visco,900.0,596.0,0.2978580892086029,8.2083614e-07,0.029984483,6.562472,-7588327059429463837
1031,https://lp-cms-production.imgix.net/news/2017/09/europestaircases.jpg?fit=max&w=800&q=40&sharp=10&vib=20,Grand staircases spiralling into decay across Europe beautifully captured in a photo essay,800.0,534.0,0.35413676500320435,1.5656248e-06,0.07907157,6.6346292,1535429396366967651
1130,https://www2.pictorem.com/uploads/gallerysmall/gallerysmall_29281.jpg,Winter landscape with figures by Charles Henri Joseph Leickert,732.0,532.0,0.291639506816864,1.3458079e-07,0.09192182,6.748859,-4274209650935557493
1225,https://i.pinimg.com/originals/4a/5b/95/4a5b95768f471a811ea3a09946510ad8.jpg,Hot Air Balloons.,600.0,599.0,0.33528071641921997,1.5262442e-05,0.41481376,6.591709,-1662070588231576482
1235,http://arcus.a.r.pic.centerblog.net/49e675be.jpg,Peintres paul kelley for Painting red umbrella,531.0,800.0,0.3305850028991699,0.00012761354,0.19439898,6.6569242,-4998087643665715896
1253,https://sr.gallerix.ru/P/222310579/446229685.jpg,The Schimmelpenninck Family. Pierre-Paul Prudhon,526.0,700.0,0.3369225561618805,2.7408621e-05,0.086233996,6.6673336,-5543746344915786580
1273,"https://artlogic-res.cloudinary.com/h_532,c_limit,f_auto,fl_lossy/ws-johndaviesgallery/usr/library/images/main/pages/1/metamorphosis-paris.jpg","Douglas Gray Metamorphis, Paris Oil, 30.5 x59 cm",928.0,532.0,0.3253295123577118,5.2035716e-06,0.091965355,7.027948,-1377688862779169961
1317,https://i1.wp.com/www.jestpozytywnie.pl/wp-content/uploads/2017/09/29/bear-on-the-dump-3.jpg?resize=800%2C640&ssl=1,This bear photo of a smoky landfill expresses more than a thousand words. When will humanity finally understand that it will turn the planet into ruin? 4,800.0,640.0,0.33712276816368103,1.5854333e-05,0.71611214,6.51802,3495094897319282370
1400,https://mayhemandmuse.com/wp-content/uploads/2012/05/power-girl-hot-day-sexy-superhero-comic-book-design-photoshop-illustration-digital-art.jpg,power girl hot day sexy superhero comic book design photoshop illustration digital art,600.0,900.0,0.3650471866130829,0.01973179,0.27398062,6.7310777,1912876196829728860
1511,https://d1o22ltncixott.cloudfront.net/eyJrZXkiOiJwcm9kdWN0c1wvMjExNjNfMzg0NTBjYzFmZWVhMTZhMTgwNjdmZTY4ZWIxNGQzNzA4MTY5MDBkMl9HVnQyM0hXMDdqQmtGNEdOXzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDIsImhlaWdodCI6MCwiZml0IjoiaW5zaWRlIn19fQ==,The Mysterious Night in Lexington Avenue,642.0,809.0,0.3126736283302307,7.671884e-06,0.053492866,6.863102,-6982936300337332104
1532,https://i.pinimg.com/736x/a3/7c/f6/a37cf6ab171b153daf1d36861d3fb730.jpg,Cityscape Photography by Eduard Gordeev,600.0,524.0,0.313923180103302,8.101409e-06,0.25060463,6.9214277,-487162225879415846
1536,https://images.fineartamerica.com/images-medium-large-5/first-snow-jerry-mcelroy.jpg,Snow Painting - First Snow by Jerry McElroy,900.0,600.0,0.32512494921684265,2.9386123e-05,0.030807965,6.649116,-4035574653784465425
1769,https://i2-prod.mirror.co.uk/incoming/article1507391.ece/ALTERNATES/s615b/Cat%20Deeley,"Three new lightweight Pantene Pro-V Fine Hair Aqua Light products, celebrity ambassador Cat Deeley goes underwater in her first ever submerged photo and filming shoot",615.0,926.0,0.34511634707450867,0.2395165,0.091110155,6.5037065,-6013199287681332480
1827,https://i.pinimg.com/originals/c3/c5/75/c3c5755a968ba948b2c0b00c6d8f89c5.jpg,cityscapes ‹ Håggard Photography,582.0,582.0,0.30873754620552063,3.430102e-05,0.34485146,6.6488357,-4796753598348777222
1855,http://2.bp.blogspot.com/-OONNtfY6Cew/VqJZYir32eI/AAAAAAAArXQ/7Ei92aKoCoc/s1600/16-Karol-B%25C4%2585k-Beautifully-Stylised-Portrait-Paintings-www-designstack-co.jpg,16-Karol-Bąk-Beautifully-Stylised-Portrait-Paintings-www-designstack-co,707.0,591.0,0.30393946170806885,0.0009023249,0.142784,6.6434836,358174484796118778
2030,https://i.pinimg.com/736x/e4/6b/c9/e46bc98624912cbff3b9c3401c71e75f--steampunk-city-steampunk-artwork.jpg,"That's Victorian London looked at, so what would a Steampunk London look like? This links to a nice collection of steampunk art.",605.0,900.0,0.3129018545150757,0.00027611852,0.09714303,6.5432987,-1405339265303341124
2070,https://i0.wp.com/vinegred.ru/wp-content/uploads/2016/07/disney-paintings-thomas-kinkade-vinegret-5.jpg?resize=800%2C535,disney-paintings-thomas-kinkade-vinegret (5),800.0,535.0,0.33373528718948364,0.00018247962,0.090510905,6.534307,-7198586681435518177
2108,https://i.pinimg.com/736x/b4/86/90/b48690d71dc6ed6dc32f884545b10e03.jpg,"""John F. Carlson, (1874-1945) American """"Forest silence"""" - oil on canvas  ... beautiful painting of trees. This always inspires me!""",735.0,601.0,0.3373468816280365,7.4730465e-08,0.06333189,6.6151547,-3940299337689181006
2209,https://static.seattletimes.com/wp-content/uploads/2015/11/shiromain09-780x636.jpg,"Shiro Kashiba behind the sushi bar of his former Belltown restaurant, Shiro's. (Betty Udesen/The Seattle Times)",779.0,636.0,0.34692221879959106,0.0006710589,0.21031858,6.629468,1411649910141628233
2347,https://i1.wp.com/artdepartmental.com/wp-content/uploads/2016/10/Lawren-Harris-Isolation-Peak_smaller.jpg?w=639&,Isolation Peak by Lawren Harris,639.0,534.0,0.38084718585014343,1.2540439e-06,0.4525657,6.5578628,544504554144367798
2389,https://static.straitstimes.com.sg/s3fs-public/styles/article_pictrure_780x520_/public/articles/2014/07/30/AL-white-haired-witch-of-lunar-kingdom-3007e_2x.jpg,"This is the latest big-screen imagining of Liang Yusheng's serialised fantasy novel The Story Of The White Haired Demoness (1957), a Romeo And Juliettype love story that has seen numerous film and TV adaptations over the past few decades. -- PHOTO: S",860.0,573.0,0.33269211649894714,0.040576875,0.17813833,6.541321,-7242104419881054854
2418,https://www.fashiongonerogue.com/wp-content/uploads/2014/06/Miss-Dior-Shanghai-Exhibit1.jpg,Miss Dior Exhibition Features Stunning Photos From New Artist Liu Lijie,800.0,619.0,0.3273628354072571,0.069476634,0.26030394,6.7948437,7795240400029689513
2432,https://www.pouted.com/wp-content/uploads/2018/01/messy-layered-hairstyle-for-blonde-men.jpg?x45357,messy-layered-hairstyle-for-blonde-men Top 10 Hairstyles for Guys with Blonde Hair [2018 Trends],540.0,700.0,0.3158259391784668,0.36208993,0.21857297,6.6421022,-3679416392134202886
2500,https://christophercart.com/wp-content/uploads/2014/10/act-2.jpg,Christopher Cart oil painting of the actress Rebecca Singer waiting to go on in Act II of Bells Are Ringing.,737.0,775.0,0.3268774449825287,0.0006790757,0.082065485,6.512935,-1815124091716109240
2565,https://cdnpt01.viewbug.com/media/mediafiles/2019/01/25/83038534_large.jpg,It never disappoint waiting for the sunrise at Bow Lake. Hope you enjoy!,926.0,617.0,0.3286263644695282,1.5234601e-06,0.15378325,6.6402197,6998036062567231401
2577,http://img2.timeinc.net/people/i/2016/news/160307/academy-design-4-800.jpg,"First Look at This Year's Oscars Stage Design: Vintage Hollywood Glam is Back!| Academy Awards, Oscars 2016, Movie News",800.0,600.0,0.35597580671310425,3.9787225e-05,1.0,6.9268374,8405499796587093706
2668,https://www.chicregina.co.uk/media/catalog/product/cache/1/image/600x800/464494ddbc94e1d3d0560a45d8403889/h/m/hmd231-1.jpg,Lovely Alloy Headpieces,600.0,800.0,0.30217188596725464,0.0029327571,0.27648526,6.7257514,487140122155430030
2704,https://cdn.cliqueinc.com/posts/229384/fashion-by-the-decade-229384-1499966720451-square.700x0c.jpg,Fashion Through The Decades 12 Trends That Shaped History Who What Wear,700.0,700.0,0.30310729146003723,0.009760737,0.18369246,6.616428,-2055162925817209498
2818,https://i.dailymail.co.uk/i/pix/2016/02/29/03/31AA2FDE00000578-3468651-image-m-135_1456718328000.jpg,Man with the plan: The two talented actresses were also joined by directorTodd Haynes,634.0,917.0,0.29616302251815796,0.056373864,0.081827976,6.502895,4802462438594008600
2819,https://render.fineartamerica.com/images/rendered/default/framed-print/images/artworkimages/medium/1/willie-diann-baggett.jpg?imgWI=6.625&imgHI=8.000&sku=CRQ13&mat1=PM918&mat2=&t=2&b=2&l=2&r=2&off=0.5&frameW=0.875,Portrait Framed Print featuring the painting Willie by Diann Baggett,600.0,669.0,0.3554919362068176,9.5394846e-08,0.025425395,6.6544003,3473542328927157168
2914,https://thumbs.dreamstime.com/b/froggies-branch-29071918.jpg,Froggies on a branch,608.0,900.0,0.3593471944332123,4.5326688e-05,0.087696776,6.5610733,2630694290174014183
2937,https://photos.smugmug.com/Archives/National-Parks/Yosemite-National-Park-California/i-CW9KnM7/3/c5fa3e76/L/Yosemite-NP-20180110-0029-L.jpg,Yosemite Falls from the Swinging Bridge over the Merced River.,800.0,533.0,0.30149227380752563,9.042796e-07,0.18783142,6.533587,-1890333150695956473
2944,https://drscdn.500px.org/photo/47369114/m%3D1170_k%3D1_a%3D1/v2?sig=388ad86ba143552f643e5d02272d96feaa65e744f6c4588e20fc257460867f92,Photograph Lost in Iceland by Xavier Jamonet on 500px,900.0,600.0,0.3136361241340637,4.0086643e-06,1.0,6.6987653,-5315777350746737916
2986,https://mymodernmet.com/wp/wp-content/uploads/archive/AUA18oXAQJlBFHgfcaXK_1082111974.jpeg,Did Art of being a redhead something,721.0,640.0,0.28489911556243896,5.6720426e-05,0.1913157,6.5748506,-1081870882191341955
3153,https://images.fineartamerica.com/images-medium-large-5/abbey-ruin-adrian-evans.jpg,13th Century Photograph - Abbey Ruin by Adrian Evans,599.0,900.0,0.33776891231536865,1.3530204e-06,0.7420685,6.575991,6571725717684179273
3206,https://i2.wp.com/fashion.mam-e.it/wp-content/uploads/2017/06/3_FENDI-Mens-SS18_SVF-portrait-with-models.jpg?resize=840%2C560&ssl=1,"Fendi Silvia Venturini with models, SS18 Man Collection",840.0,560.0,0.3255471885204315,0.058046877,0.35137188,6.598794,2071216673851932708
3267,https://a.1stdibscdn.com/michael-van-zeyl-paintings-peonies-in-white-light-oil-painting-with-12k-white-gold-leaf-blond-female-for-sale/a_5543/a_23341211565815724845/PeoniesInWhiteLight_12K_MedRes_master.jpg?width=768,"Michael Van Zeyl Portrait Painting - Peonies in White Light, Oil Painting with 12K White Gold Leaf, Blond Female",768.0,512.0,0.3185715675354004,0.00014898181,0.37285778,6.814241,-1327772051922843076
3352,http://photos.smugmug.com/Stock-Images/States/Washington-State/i-fV8h7MF/0/L/_DSC2210_web-L.jpg,"At The Base Of The Valley- Steptoe Butte State Park, The Palouse, Eastern Washington",800.0,534.0,0.3465958535671234,3.0943488e-06,0.37308615,6.580348,6203703429418593026
3367,https://images.fineartamerica.com/images/artworkimages/mediumlarge/2/frozen-brook-suzanns-art.jpg,Winter Painting - Frozen Brook by Suzann Sines,900.0,540.0,0.33992713689804077,9.220257e-08,0.6008559,6.958396,-263161042426789672
3450,https://i1.wp.com/sannyassa.co.uk/wp-content/uploads/2014/11/india_photo-steve-mccurry.jpg?resize=800%2C532,"Boy in mid-flight, Jodhpur, India, 2007 At the foot of the vast Mehrangarh Fort, one can find the Blue City, a small tightly knit maze of houses located towards the north of Jodhpur. In one of the narrow alleyways a boy flees McCurry's camera. Balancing three intersecting planes of colour - one of which is covered in stark red handprints - the image pulsates with energy as a young boy dashes through the narrow alleyways. At the foot of the vast Mehrangarh Fort, one can find the Blue City, a small tightly knit maze of houses located towards the north of Jodhpur. Balancing three intersecting planes of colour - one of which is covered in stark red handprints - the image pulsates with energy as a young boy dashes through the narrow alleyways. Phaidon, IP page 6, final print_poster Unguarded Moment_Book Iconic_Book final print_MACRO final print_Genoa final print_Sao Paulo",800.0,532.0,0.31074872612953186,1.980267e-05,0.12102284,6.508206,8483296033312891601
3486,https://reinerscontemporaryart.eu/wp-content/uploads/elementor/thumbs/Idowu-Oluwaseun-Exhibition_Reiners-Contemporary-Art-Gallery-Malaga-p3q6idbmuipvtvtagv6zwo6f93kh469cszj7cj3cgc.jpg,Painting exhibition in Marbella of Idowu Oluwaseun at Reiners Contemporary Art Gallery,750.0,750.0,0.31165745854377747,2.527159e-05,0.55977505,6.731349,7985033833475894423
3574,https://i1.wp.com/www.entertainmentmesh.com/wp-content/uploads/2018/08/Ashley-Olsen.jpg?w=600&ssl=1,Ashley Olsen,564.0,744.0,0.30211713910102844,0.96303093,0.22549684,6.609941,-4641890308652109170
3619,https://4.bp.blogspot.com/-DLWchiYNH9g/U8aprSDzJRI/AAAAAAAASn0/6NTLT_vgxxY/s1600/04-Sir-McKellen-Joongwon-Charles-Jeong-Hyper-Realistic-Paintings-of-the-Past-www-designstack-co.jpg,04-Sir-McKellen-Joongwon-Charles-Jeong-Hyper-Realistic-Paintings-of-the-Past-www-designstack-co,593.0,960.0,0.34724217653274536,2.9432147e-05,0.3334261,6.5424647,-1106244772165826172
3718,https://images.squarespace-cdn.com/content/v1/55a6789fe4b0e88cf27e8efa/1453775423104-GLHT0CMKISN6P330CDNN/ke17ZwdGBToddI8pDm48kLr1JbZwj7oR3lTL2mjMfTZZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIGGshmP7vSw5DtWqmbN4eR5q74XZu0SoZVQq5vhHfxj8KMshLAGzx4R3EDFOm1kBS/Mount+Rundle,Mount Rundle,851.0,568.0,0.3352603018283844,1.3785332e-06,0.8741008,6.5584126,5604585046943324759
3791,https://secureservercdn.net/184.168.47.225/eb8.ef0.myftpupload.com/wp-content/uploads/2019/09/FFVII_AERITH_3.png?time=1568824813,"New Final Fantasy VII Remake Trailer Reveals The Turks, Summons, And More (VIDEO)",1024.0,576.0,0.33106839656829834,0.004301101,0.10671132,6.7242203,2560686120360343433
3798,http://www.viewgallery.co.uk/wp-content/uploads/2016/10/charles_statue_and_whitehall-600x600.jpg,charles statue and whitehall,600.0,600.0,0.312583863735199,1.980723e-06,0.13101844,6.5814376,6517376520811136919
3848,http://bydonna.co.uk/wp-content/uploads/Welsh-Springer-Spaniel-Dog-Portrait-Dido.jpg,Welsh Springer Spaniel Portrait,700.0,800.0,0.3825265169143677,5.968698e-07,0.409816,6.5090175,-3716580411216375164
3866,https://c1.35photo.pro/photos_temp/sizes/1185/5925568_800n.jpg,"dark,mood,portrait,girls,little,match,night,snow,cold,freeze,fairy,tale,old,victorian,city,town,street,three,dirty,fairy tale Little Match Girlsphoto preview",800.0,584.0,0.3353119194507599,0.012146413,0.10035633,6.6959534,3431532307251138543
3872,https://i.pinimg.com/736x/06/ba/4e/06ba4e55f2ddb64987e48407406ea374--landscape-pictures-landscape-paintings.jpg,A collection of Paintings by Canadian Painter Nicholas Bott.,736.0,549.0,0.31179818511009216,5.99444e-08,0.0726948,6.5362587,-4896138083648553160
3907,https://i.pinimg.com/736x/4a/30/fd/4a30fd73d68fb71fea6242207ef1c288.jpg,Gibsons Home Sweet Home Jigsaw Puzzle (1000 Pieces): Amazon.co.uk: Toys & Games,736.0,526.0,0.31739506125450134,0.000161767,0.08043658,6.5452952,-8295765306459848908
3964,https://i.dailymail.co.uk/i/pix/2017/09/06/22/43E62C0E00000578-4859680-image-a-16_1504733097210.jpg,"Stags, hinds and fawns can be seen making the most of the early morning peace on the magnificent Long Walk at Windsor Great Park, which runs for more than two and a half miles",962.0,604.0,0.4071846902370453,3.35873e-06,0.087672055,6.606706,-5883331231892682233
3991,https://static.bartongalleries.com/images/paintings/554-Homer/5544-Mountain-Climber-Resting.jpg,Mountain Climber Resting by Winslow Homer,800.0,571.0,0.35439127683639526,1.1094337e-05,0.11390845,6.671653,5407722287558767234
4025,http://static.ugallery.com/webdata/Product/46695/Images/Large_gardenstaircaseoil20x16sherrialdawood.jpg,Original art for sale at UGallery.com | Garden Staircase by SHERRI ALDAWOOD | $875 | Oil painting | 20' h x 16' w | http://www.ugallery.com/oil-painting-garden-staircase,555.0,700.0,0.36164090037345886,8.357396e-06,0.0686693,6.6126437,5165662619260462140
4135,https://saucemonsters.com/wp-content/uploads/2019/09/Teyonah-parris-11.jpg,"Teyonah Parris Hottest Photos | Sexy Near-Nude Pictures, GIFs",650.0,749.0,0.32292065024375916,0.64138687,0.1502468,6.504818,-1688139692136507929
4142,http://images.fineartamerica.com/images-medium-large/great-grey-owl-in-snowstorm-scott-linstead.jpg,Great Grey Owl In Snowstorm Photograph  - Great Grey Owl In Snowstorm Fine Art Print,900.0,600.0,0.32768675684928894,3.5805358e-06,0.14305235,6.544223,6191541017890558579
4254,https://www.bradleystevens.com/wp-content/gallery/landscapes//Orcas-Overlook-W.jpg,"orcas-overlook, landscape painting, oil painting, Pacific Northwest landscape painting, Orcas Island",759.0,566.0,0.38072913885116577,8.647017e-07,0.046599433,6.642283,-7640407941494576753
4267,https://i.pinimg.com/736x/ca/58/c8/ca58c88d33a9c07481befd661852b574.jpg,21 Beautiful Oil Paintings for Inspirations,652.0,800.0,0.2828432619571686,0.005832851,0.4588709,6.613613,5874677552916498388
4278,https://3.bp.blogspot.com/--gsIA5djYQs/UDuksywU_1I/AAAAAAAB8Ug/jooY_c1HKiU/s1600/Children+in+art+-+Odysseas+Oikonomou+%5B%CE%9F%CE%B4%CF%85%CF%83%CF%83%CE%AD%CE%B1%CF%82+%CE%9F%CE%B9%CE%BA%CE%BF%CE%BD%CF%8C%CE%BC%CE%BF%CF%85%5D+1967+-+Albanian-Born+Greek+Figurative+painter+(22).jpg,Children in art | Odysseas Oikonomou 1967 | Albanian-Born Greek Portrait painter,587.0,720.0,0.3201881945133209,2.9052297e-05,0.18817167,6.6693463,7757765153794078510
4304,https://d3rf6j5nx5r04a.cloudfront.net/Ov4B3_t6BxWYdjU9id4bxoj-pXg=/560x852/product/5/6/89b7bcb6d1d2429fa1eb29162130c39b.jpg,The trees on the mountain,560.0,852.0,0.2808031737804413,2.002753e-06,0.38809982,6.8479753,659858205097847082
4315,https://i2.wp.com/0.soompi.io/wp-content/uploads/2018/05/25185726/UEE-XPN-21.jpg?resize=540%2C810&amp;ssl=1,- UEE XPN 21 - UEE Talks About Her Views On Marriage And Fame  - UEE XPN 21 - UEE Talks About Her Views On Marriage And Fame,540.0,810.0,0.2902570068836212,0.8258611,0.45623884,6.5259624,1853681261758946527
4325,https://i0.wp.com/static.boredpanda.com/blog/wp-content/uploads/2016/05/national-geographic-travel-photographer-of-the-year-contest-2016-63-572c4608bbf4e__880.jpg,"Jonas Blizzard And The Flatiron Building, New York, United States",880.0,620.0,0.379873663187027,2.0169598e-06,0.111371204,6.619758,2959278093584531499
4366,http://www.robertlaskey.com/uploads/1/0/3/9/10390623/coaxiumhyperfuel-robertlaskey-web.jpg,Young Han Solo holds vial of coaxium hyperfule in the middle of a game of sabacc gambling for the millenium falcon.,800.0,655.0,0.31081876158714294,0.0017650723,0.15254937,6.6070566,4555504668800442586
4395,https://juliedemboski.files.wordpress.com/2014/12/the_whisper_of_the_muse_by_julia_margaret_cameron.jpg?w=529&,"The Whisper of the Muse, by Julia Margaret Cameron 1865 {{PD}}",529.0,639.0,0.34527456760406494,6.407403e-08,0.29184,6.8819084,6320980844286593656
4453,https://dailyprayer.us/photos820/Interior-Of-The-Franciscan-Church-Salzburg-b.jpg,"<i>Interior Of The Franciscan Church, Salzburg</i>,  by Rudolf Ritter von Alt, ca. 1840.",834.0,640.0,0.34158506989479065,2.4622138e-06,0.06557436,6.5132008,5214709982464695373
4551,https://cdn.tricera.net/artist_assets/2956/product/27792/converted/main.webp?v=1634568040,Autumn. Red scarf,623.0,750.0,0.3384644091129303,9.0199814e-05,0.26400107,6.522994,-6271477614023464128
4568,http://1.bp.blogspot.com/-RxjOpS-q4PM/TZNE-Pf3rII/AAAAAAAAJng/twAC6qvOo9s/s1600/Corcos-Dreams-1896.jpg,Dreams by Vittorio Matteo Corcos,647.0,768.0,0.3216331899166107,8.518164e-05,0.08622274,6.616814,-2579351428096302346
4602,https://cdn.shopify.com/s/files/1/0281/3349/0791/products/DuskinDubuque_580x.jpg?v=1610300597,Dusk in Dubuque Watercolor by Spencer Meagher,580.0,580.0,0.34622517228126526,4.554798e-07,0.0810559,6.968769,8472113804793209388
4606,https://en.wahooart.com/Art.nsf/O/8YDQ5E/$File/Jean-auguste-dominique-Ingres-Princess-Pauline-Eleonore-de-Broglie.JPG,"Princess Pauline-Eleonore de Broglie, Oil On Canvas by Jean Auguste Dominique Ingres (1780-1867, France)",523.0,700.0,0.3439033329486847,0.0009796321,0.14047524,6.5332594,1298574697385850234
4633,https://drscdn.500px.org/photo/105341213/m%3D900/2ea2f98b606c08d6cf07381d86f19e91,Photograph The Universe and Me by Jesse Summers on 500px,900.0,600.0,0.31671467423439026,4.444499e-05,0.07979506,6.5788875,5006011871762606204
4637,https://tourscanner.com/blog/wp-content/uploads/2018/04/togean_island-1.jpg?x65729,Togean - isole in Asia,800.0,534.0,0.32489362359046936,0.0004104972,0.099062584,6.5014076,-1691848296052483437
4649,https://images.squarespace-cdn.com/content/596c8d1f579fb3415cb9ddb7/1503824417971-E42A4O9NKLWJ9SNGGJEY/Unstad-BTS.jpg?format=1000w&content-type=image%2Fjpeg,Magical Unstad in Lofoten,1000.0,563.0,0.31375429034233093,1.597596e-06,0.5,6.680089,-3845681867675308011
4651,http://focus.tracinglight.com/images/20111228095947_queenstown-view.jpg,Queenstown View - New Zealand,1000.0,588.0,0.3136771321296692,6.4872984e-06,0.067118995,6.5199957,-6757993984577877427
4673,https://i.pinimg.com/736x/2d/f5/91/2df591613743c5561be747b5d327c69a.jpg,25 Best Boat Painting Ideas On Pinterest,700.0,700.0,0.3049280047416687,1.7240187e-05,0.22396867,6.6543555,5032738407825775613
4822,https://jloog.com/images/drawn-scenery-anime-10.jpg,Drawn scenery anime Best Past about Revisited: Future,736.0,552.0,0.28812167048454285,0.00056508183,0.087655984,6.543698,-1527476412202155768
4933,https://i.pinimg.com/736x/c3/3e/d2/c33ed21871bc8cce519562dd75be1313.jpg,".: Picture, Photos, Animals, Dogs, Friends, Underwater Photography, Zena Holloway, Kid",656.0,800.0,0.39005255699157715,1.3609436e-05,0.10036886,6.52933,-8017521637031227286
5049,https://fotocircuit.com/gallery20/5f02ae49b2e7d142004141.jpg,"The Peacock And The Beauty, Tong  Jiangchuan , China",800.0,571.0,0.2895162105560303,0.0006708801,0.37530065,6.516402,-1602235090671673403
5063,https://www.forevergeek.com/wp-content/media/2011/08/johncarter_concertart1-930x548.jpg?8db0e1,johncarter concertart1 930x548 12 Upcoming Disney Projects Shown at D23 Expo,930.0,548.0,0.30970847606658936,0.00044611096,0.28581554,6.5971966,3914258857328811864
5214,http://images.fineartamerica.com/images-medium-large-5/youthful-john-wayne-publicity-photo-c1931-david-lee-guss.jpg,Youthful John Wayne Publicity Photo C.1931 Photograph  - Youthful John Wayne Publicity Photo C.1931 Fine Art Print,664.0,860.0,0.31790781021118164,4.0893347e-06,,6.677934,-2872920817399786334
5223,https://images.fineartamerica.com/images/artworkimages/mediumlarge/1/power-of-the-grizzly-nicole-wilde.jpg,Power of the Grizzly by Nicole Wilde,900.0,600.0,0.30927616357803345,9.827408e-06,0.11573665,6.6110663,-6886532759151138379
5238,http://3.bp.blogspot.com/-t0Es3mFI6EA/UGBtjtuCTrI/AAAAAAACCzw/JRUAeip8DrU/s1600/Stephen+Darbishire+1940+-+British+Interiors+and+Landscape+painter+-+Tutt'Art@+(41).jpg,Stephen Darbishire 1940 | British Interiors and Landscape painter,800.0,673.0,0.41567379236221313,0.00010852174,0.05104875,6.7995405,-7481256014080908931
